price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 39,9 Miliar Total",Rp 205 Jutaan (Tenor 20 Tahun),Murah!! Gedung+gudang Luas Ex Marmer 4 Lt Di Fatmawati Raya,Jakarta Selatan,,3,4,789 m²,1200 m²
"Rp 2,1 Miliar Total",Rp 10 Jutaan (Tenor 20 Tahun),Dijual Ruko Puri Orchard Gandeng 3 Tersewa Terus,Jakarta Barat,,1,10,42 m²,239 m²
"Rp 13,9 Miliar Total",Rp 71 Jutaan (Tenor 20 Tahun),Dijual 4 Ruko Hoek Gandeng Taman Buaran Indah,Jakarta Timur,,4,8,250 m²,900 m²
"Rp 7,8 Miliar Total",Rp 40 Jutaan (Tenor 20 Tahun),Ruko 5 Lantai di Daerah Strategis Mangga Besar. Cocok Untuk Kos,Jakarta Barat,,19,,120 m²,600 m²
Rp 16 Miliar Total,Rp 82 Jutaan (Tenor 20 Tahun),Dijual Tanah 570m2 + Bangunan Di Bawah Njop Di Haji Nawi,Jakarta Selatan,,,,570 m²,
"Rp 1,2 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Dijual Smart Office Selalu Tersewa Di Ciputra International,Jakarta Barat,,14,,21000 m²,29 m²
Rp 22 Miliar Total,Rp 113 Jutaan (Tenor 20 Tahun),Tanah Strategis di Prapanca Raya Dekat Dharmawangsa PBG Komersial,Jakarta Selatan,,,,371 m²,
Rp 11 Juta /m²,Rp 60 Ribuan (Tenor 20 Tahun),Dijual Tanah 3 Kav Di Citra 2 Cocok Bisnis Kos/Rumah,Jakarta Barat,,,,562 m²,
Rp 75 Miliar Total,Rp 385 Jutaan (Tenor 20 Tahun),Jual Rugi Bawah NJOP Tanah Di Outer Ring Road Tb Simatupang,Jakarta Selatan,,,,2913 m²,
Rp 20 Miliar Total,Rp 102 Jutaan (Tenor 20 Tahun),Tanah Sangat Strategis Di Joglo Luas Super Murah Nego Harus Jadi!,Jakarta Barat,,,,1175 m²,
Rp 6 Juta /m²,Rp 40 Ribuan (Tenor 20 Tahun),Dijual Tanah 4050m2 Dekat MRT LB BulusBONUS Gudang di TangSel,Tangerang Selatan,,,,3750 m²,
"Rp 8,5 Juta /m²",Rp 50 Ribuan (Tenor 20 Tahun),Dijual Tanah Hoek Strategis 552m2 Harapan Indah Bekasi,Bekasi,,,,522 m²,
Rp 22 Juta /m²,Rp 120 Ribuan (Tenor 20 Tahun),Tanah Super Strategis Jauh Di Bawah Njop Di Jl Pramuka,Jakarta Pusat,,,,720 m²,
